2026-07-02 17:28:34,565 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-02 17:28:50,883 | INFO | Home endpoint accessed.
2026-07-02 17:29:10,131 | INFO | Home endpoint accessed.
2026-07-02 17:29:22,846 | INFO | Health endpoint accessed.
2026-07-02 17:30:12,487 | INFO | Home endpoint accessed.
2026-07-07 00:25:18,493 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 00:25:22,085 | INFO | Home endpoint accessed.
2026-07-07 18:27:19,442 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 18:27:26,830 | INFO | Home endpoint accessed.
2026-07-07 18:29:25,982 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 18:29:29,807 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 18:33:27,624 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 18:33:39,151 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 18:45:40,743 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 18:56:34,244 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 18:56:38,628 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 19:50:23,586 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 19:56:20,326 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 19:59:11,540 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 20:02:46,882 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 20:26:41,033 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 20:29:17,943 | INFO | Enterprise AI Knowledge Assistant started successfully.
2026-07-07 20:29:20,977 | INFO | Home endpoint accessed.
2026-07-07 20:34:23,724 | INFO | Home endpoint accessed.
2026-07-07 20:34:50,113 | INFO | Home endpoint accessed.
2026-07-07 20:35:10,879 | INFO | Home endpoint accessed.
2026-07-07 20:35:24,301 | INFO | Home endpoint accessed.
2026-07-07 20:40:49,112 | INFO | select pg_catalog.version()
2026-07-07 20:40:49,112 | INFO | [raw sql] {}
2026-07-07 20:40:49,114 | INFO | select current_schema()
2026-07-07 20:40:49,114 | INFO | [raw sql] {}
2026-07-07 20:40:49,122 | INFO | show standard_conforming_strings
2026-07-07 20:40:49,122 | INFO | [raw sql] {}
2026-07-07 20:40:49,122 | INFO | BEGIN (implicit)
2026-07-07 20:40:49,127 | INFO | INSERT INTO users (username, email) VALUES (%(username)s, %(email)s) RETURNING users.id
2026-07-07 20:40:49,127 | INFO | [generated in 0.00069s] {'username': 'james', 'email': 'james@gmail.com'}
2026-07-07 20:40:49,139 | INFO | COMMIT
2026-07-07 20:40:49,139 | INFO | BEGIN (implicit)
2026-07-07 20:40:49,154 | INFO | SELECT users.id, users.username, users.email 
FROM users 
WHERE users.id = %(pk_1)s
2026-07-07 20:40:49,154 | INFO | [generated in 0.00144s] {'pk_1': 1}
2026-07-07 20:40:49,154 | INFO | ROLLBACK
